,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
252,252,-0.33057040753965605,-0.3,1,385.0,510.0,1.0,535.0,1,0.0,0.0
253,253,0.6182312279215869,0.6,0,457.0,670.0,0.0,743.0,1,0.0,0.0
254,254,0.38217522550759053,0.4,0,482.0,652.0,0.0,756.0,1,0.0,0.0
255,255,0.06517603166327857,0.1,0,405.0,665.0,1.0,970.0,0,0.0,0.0
256,256,0.2344772382753435,0.2,0,388.0,772.0,0.0,2420.0,1,0.0,0.0
257,257,0.27581649667579944,0.3,0,452.0,787.0,0.0,1041.0,1,0.0,0.0
258,258,-0.020640715738864612,-0.0,1,282.0,673.0,1.0,295.0,1,0.0,0.0
259,259,0.8531822110592349,0.9,0,405.0,512.0,0.0,463.0,1,0.0,0.0
260,260,0.8773329744266893,0.9,0,499.0,508.0,0.0,313.0,1,0.0,0.0
261,261,0.1236801679519468,0.1,0,496.0,947.0,0.0,677.0,1,0.0,0.0
262,262,0.17542341379670146,0.2,0,436.0,888.0,0.0,1386.0,1,0.0,0.0
263,263,0.4334611630825911,0.4,0,319.0,836.0,0.0,645.0,1,0.0,0.0
264,264,-0.7387403120223932,-0.7,1,313.0,844.0,1.0,413.0,1,0.0,0.0
265,265,0.17391352290717133,0.2,0,468.0,595.0,1.0,727.0,0,0.0,0.0
266,266,-0.13636947421541423,-0.1,1,450.0,678.0,1.0,622.0,1,0.0,0.0
267,267,-0.7588951081569704,-0.8,1,260.0,726.0,1.0,244.0,1,0.0,0.0
268,268,-0.8479778466105534,-0.8,1,299.0,693.0,1.0,308.0,1,0.0,0.0
269,269,0.22774520940741638,0.2,0,272.0,554.0,0.0,1284.0,1,0.0,0.0
270,270,0.3151734861462552,0.3,0,471.0,776.0,0.0,343.0,1,0.0,0.0
271,271,-0.9991551055580636,-1.0,1,411.0,886.0,1.0,163.0,1,0.0,0.0
272,272,0.9243892794932411,0.9,0,309.0,608.0,0.0,703.0,1,0.0,0.0
273,273,-0.37039478725553976,-0.4,1,317.0,899.0,1.0,424.0,1,0.0,0.0
274,274,-0.5856733681718298,-0.6,1,268.0,693.0,1.0,399.0,1,0.0,0.0
275,275,0.3293943710228582,0.3,0,439.0,926.0,0.0,835.0,1,0.0,0.0
276,276,0.7169433043016222,0.7,0,494.0,627.0,0.0,499.0,1,0.0,0.0
277,277,0.9180353737009868,0.9,0,427.0,531.0,0.0,192.0,1,0.0,0.0
278,278,-0.758833978892375,-0.8,1,314.0,787.0,1.0,499.0,1,0.0,0.0
279,279,-0.9103450233989412,-0.9,1,251.0,540.0,1.0,299.0,1,0.0,0.0
280,280,0.15249276829179248,0.2,0,437.0,875.0,0.0,1778.0,1,0.0,0.0
281,281,0.4906402923763795,0.5,0,339.0,928.0,0.0,1023.0,1,0.0,0.0
282,282,-0.8867298341004679,-0.9,1,313.0,677.0,1.0,350.0,1,0.0,0.0
283,283,0.044269341637918735,0.0,0,473.0,515.0,1.0,1492.0,0,0.0,0.0
284,284,0.8515695037022115,0.9,0,309.0,638.0,0.0,163.0,1,0.0,0.0
285,285,0.9725462903133051,1.0,0,389.0,664.0,0.0,377.0,1,0.0,0.0
286,286,0.8837700332980267,0.9,0,322.0,895.0,0.0,273.0,1,0.0,0.0
287,287,0.00733105140871837,0.0,0,283.0,779.0,1.0,1408.0,0,0.0,0.0
288,288,-0.5603237618385533,-0.6,1,318.0,875.0,1.0,337.0,1,0.0,0.0
289,289,0.36360691114789345,0.4,0,497.0,547.0,0.0,246.0,1,0.0,0.0
290,290,-0.3315601589933417,-0.3,1,409.0,781.0,1.0,350.0,1,0.0,0.0
291,291,-0.6742577519962638,-0.7,1,408.0,921.0,1.0,241.0,1,0.0,0.0
292,292,-0.0694022494574309,-0.1,1,251.0,980.0,1.0,1639.0,1,0.0,0.0
293,293,-0.7012383823282979,-0.7,1,253.0,722.0,1.0,465.0,1,0.0,0.0
294,294,-0.5300986049021164,-0.5,1,479.0,803.0,1.0,408.0,1,0.0,0.0
295,295,0.9875986666490271,1.0,0,428.0,743.0,0.0,299.0,1,0.0,0.0
