,trial,coherence,coherence_bin,correct_side,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
4095,4095,0.4718130229266885,0.5,0.0,125.0,1.0,5875.0,0,1.0,0.0
4096,4096,-0.5012014412478412,-0.5,0.0,125.0,0.0,5875.0,1,0.0,0.0
4097,4097,0.0833912059556946,0.1,1.0,125.0,1.0,5875.0,1,0.0,1.0
4098,4098,-0.19943383464501863,-0.2,1.0,125.0,1.0,5875.0,1,1.0,0.0
4099,4099,-0.7009253225786743,-0.7,1.0,125.0,0.0,5875.0,0,1.0,1.0
4100,4100,0.15521848206168476,0.2,1.0,125.0,1.0,5875.0,1,0.0,1.0
4101,4101,-0.8363831227276584,-0.8,0.0,125.0,1.0,5875.0,0,0.0,1.0
4102,4102,-0.26774889201469776,-0.3,1.0,125.0,1.0,5875.0,1,1.0,0.0
4103,4103,-0.803896804315379,-0.8,1.0,125.0,0.0,5875.0,0,1.0,1.0
4104,4104,0.6415471184410523,0.6,1.0,125.0,1.0,5875.0,1,0.0,1.0
4105,4105,0.2350365780270237,0.2,0.0,125.0,1.0,5875.0,0,1.0,0.0
4106,4106,-0.29153286344279206,-0.3,0.0,125.0,0.0,2895.0,1,0.0,0.0
4107,4107,-0.34814904973014327,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
4108,4108,-0.2344349221459553,-0.2,1.0,125.0,0.0,5875.0,0,1.0,1.0
4109,4109,0.6353774484945788,0.6,1.0,125.0,0.0,5875.0,0,0.0,0.0
4110,4110,0.3583732978250186,0.4,0.0,125.0,0.0,5875.0,1,1.0,1.0
4111,4111,0.4961369565858441,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
4112,4112,0.2022969382956229,0.2,1.0,125.0,0.0,5875.0,0,0.0,0.0
4113,4113,-0.7389016199759991,-0.7,0.0,125.0,1.0,5875.0,0,0.0,1.0
4114,4114,0.3986578075127555,0.4,0.0,125.0,0.0,5875.0,1,1.0,1.0
4115,4115,-0.10656324087636615,-0.1,1.0,125.0,1.0,5875.0,1,1.0,0.0
4116,4116,0.2967503464839699,0.3,0.0,125.0,0.0,5875.0,1,1.0,1.0
4117,4117,-0.13347542799168166,-0.1,1.0,125.0,0.0,5875.0,0,1.0,1.0
4118,4118,0.5167850257762548,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
4119,4119,-0.29328667239188233,-0.3,1.0,125.0,1.0,5875.0,1,1.0,0.0
4120,4120,0.2155801545981869,0.2,1.0,125.0,1.0,5875.0,1,0.0,1.0
4121,4121,-0.07768056571303394,-0.1,1.0,125.0,1.0,5875.0,1,1.0,0.0
4122,4122,-0.5371411331002411,-0.5,0.0,125.0,1.0,5875.0,0,0.0,1.0
4123,4123,-0.3126777410898016,-0.3,0.0,125.0,1.0,5875.0,0,0.0,1.0
4124,4124,-0.20189554423006717,-0.2,1.0,125.0,1.0,5875.0,1,1.0,0.0
4125,4125,0.027638065435025783,0.0,0.0,125.0,1.0,5875.0,0,1.0,0.0
4126,4126,-0.4333320050028672,-0.4,1.0,125.0,0.0,5875.0,0,1.0,1.0
4127,4127,-0.4869038544397531,-0.5,1.0,125.0,0.0,5875.0,0,1.0,1.0
4128,4128,0.699600111104045,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
4129,4129,0.6187582843886358,0.6,1.0,125.0,1.0,5875.0,1,0.0,1.0
4130,4130,0.4338858152860413,0.4,0.0,125.0,0.0,5875.0,1,1.0,1.0
4131,4131,0.002491669646655814,0.0,1.0,125.0,1.0,5875.0,1,0.0,1.0
4132,4132,0.23990107531400773,0.2,1.0,125.0,1.0,5875.0,1,0.0,1.0
4133,4133,0.27678538250515305,0.3,0.0,125.0,0.0,5875.0,1,1.0,1.0
4134,4134,-0.028016525958761473,-0.0,1.0,125.0,0.0,5875.0,0,1.0,1.0
