,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,gain
4628,4628,-0.8532156152600163,-0.9,1,465.0,800.0,0.0,265.0,0,0.7507497037171864
4629,4629,0.7734246174454831,0.8,0,343.0,760.0,1.0,407.0,0,0.21345406176216197
4630,4630,-0.13844374385037805,-0.1,1,330.0,573.0,0.0,2227.0,0,0.21220863700499448
4631,4631,0.41133357756601785,0.4,1,493.0,920.0,1.0,297.0,1,0.2976796579459864
4632,4632,-0.23068711233446093,-0.2,1,352.0,889.0,0.0,1369.0,0,0.5018964806604922
4633,4633,0.12360538610889704,0.1,1,422.0,899.0,1.0,2409.0,1,0.0782777505781157
4634,4634,0.9672664084521532,1.0,0,379.0,679.0,1.0,302.0,0,0.4996319125645615
4635,4635,0.44442143051289174,0.4,1,365.0,602.0,1.0,223.0,1,0.4307500815026757
4636,4636,-0.014356288211210266,-0.0,1,347.0,956.0,0.0,737.0,0,0.9320810626939054
4637,4637,0.4191320830333549,0.4,1,431.0,817.0,1.0,502.0,1,0.16313097151833178
4638,4638,-0.4762697066988333,-0.5,1,272.0,616.0,0.0,292.0,0,0.30189399765758107
4639,4639,0.4745245549259083,0.5,1,450.0,932.0,1.0,268.0,1,0.6320192058437856
4640,4640,-0.07182662836548159,-0.1,1,477.0,608.0,0.0,3915.0,0,0.34428194323327
4641,4641,-0.16889993576150397,-0.2,1,284.0,596.0,0.0,3860.0,0,0.3513053484101245
4642,4642,0.2671623663754954,0.3,1,457.0,583.0,1.0,460.0,1,0.46760587389818675
4643,4643,0.5665746672759622,0.6,0,450.0,620.0,1.0,420.0,0,0.2040171253933063
4644,4644,-0.36424324545172015,-0.4,1,459.0,856.0,0.0,335.0,0,0.3553623610529544
4645,4645,0.4217660096413758,0.4,1,256.0,945.0,1.0,1229.0,1,0.16918867789981762
4646,4646,0.21297157939450773,0.2,1,293.0,592.0,1.0,2685.0,1,0.10690344029734067
4647,4647,-0.02580468115552703,-0.0,1,497.0,940.0,0.0,783.0,0,0.8598187886376975
4648,4648,-0.9414548463638044,-0.9,1,380.0,938.0,0.0,222.0,0,0.7830035912919335
4649,4649,0.8604902431859998,0.9,0,279.0,622.0,1.0,179.0,0,0.3864183703775653
4650,4650,0.049419102797534586,0.0,1,471.0,867.0,1.0,3662.0,1,0.37229768945058783
