,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
841,841,-0.019662988219542044,-0.0,1,469.0,578.0,1.0,1013.0,1,294.1011035341374
842,842,-0.7936002733856176,-0.8,1,286.0,893.0,1.0,381.0,1,61.91991798431473
843,843,0.9231750759782202,0.9,0,364.0,828.0,0.0,208.0,1,23.047477206533927
844,844,0.9717852583071627,1.0,0,274.0,640.0,0.0,206.0,1,8.4644225078512
845,845,-0.7547731028865976,-0.8,1,427.0,686.0,1.0,217.0,1,73.56806913402072
846,846,0.5565951384078336,0.6,0,357.0,524.0,0.0,359.0,1,133.02145847764993
847,847,0.5961283500914636,0.6,0,376.0,778.0,0.0,256.0,1,121.16149497256092
848,848,0.6027017889412292,0.6,0,338.0,808.0,0.0,744.0,1,119.18946331763125
849,849,0.45154204081468974,0.5,0,364.0,588.0,0.0,338.0,1,164.53738775559307
850,850,0.1976507899851001,0.2,0,381.0,829.0,0.0,530.0,1,240.70476300446998
851,851,-0.7064725330842585,-0.7,1,300.0,731.0,1.0,319.0,1,88.05824007472245
