,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
4377,4377,-0.5808615171664478,-0.6,0.0,330.0,616.0,0.0,264.0,1,0.0,0.0
4378,4378,-0.4870925990034339,-0.5,0.0,272.0,996.0,0.0,242.0,1,0.0,0.0
4379,4379,-0.44547267435377075,-0.4,1.0,277.0,613.0,1.0,140.0,1,1.0,0.0
4380,4380,-0.7291318665690726,-0.7,1.0,348.0,609.0,1.0,303.0,1,1.0,0.0
4381,4381,-0.24822967716524935,-0.2,1.0,279.0,795.0,1.0,436.0,1,1.0,0.0
4382,4382,0.07276813799728732,0.1,0.0,353.0,793.0,0.0,834.0,1,1.0,1.0
4383,4383,0.716469770055319,0.7,1.0,274.0,672.0,1.0,134.0,1,0.0,1.0
4384,4384,0.29890602785996345,0.3,0.0,388.0,833.0,0.0,159.0,1,1.0,1.0
4385,4385,-0.6434174216686748,-0.6,1.0,471.0,546.0,1.0,143.0,1,1.0,0.0
4386,4386,0.7861929338962433,0.8,0.0,270.0,861.0,0.0,79.0,1,1.0,1.0
4387,4387,0.5383031259049676,0.5,1.0,266.0,762.0,1.0,142.0,1,0.0,1.0
4388,4388,0.41808979317480055,0.4,0.0,377.0,867.0,0.0,416.0,1,1.0,1.0
4389,4389,-0.6739003208062355,-0.7,1.0,298.0,874.0,1.0,178.0,1,1.0,0.0
4390,4390,-0.7143552712822849,-0.7,0.0,301.0,613.0,0.0,176.0,1,0.0,0.0
4391,4391,-0.009318699338091707,-0.0,0.0,384.0,618.0,0.0,3998.0,1,0.0,0.0
4392,4392,0.8943140906380708,0.9,1.0,414.0,777.0,1.0,119.0,1,0.0,1.0
4393,4393,-0.8921477257861598,-0.9,1.0,390.0,890.0,1.0,140.0,1,1.0,0.0
4394,4394,0.06061921217595345,0.1,1.0,378.0,790.0,1.0,3832.0,1,0.0,1.0
4395,4395,-0.7369263536346184,-0.7,1.0,319.0,954.0,1.0,187.0,1,1.0,0.0
4396,4396,0.1182205602275338,0.1,1.0,264.0,689.0,1.0,1147.0,1,0.0,1.0
4397,4397,-0.8389752913429233,-0.8,1.0,431.0,853.0,1.0,156.0,1,1.0,0.0
4398,4398,-0.6550669130289901,-0.7,0.0,396.0,908.0,0.0,286.0,1,0.0,0.0
4399,4399,-0.017414702776245128,-0.0,1.0,317.0,986.0,1.0,-123.0,1,1.0,0.0
4400,4400,0.6449379028062737,0.6,1.0,278.0,924.0,1.0,78.0,1,0.0,1.0
4401,4401,-0.39237813984084513,-0.4,0.0,319.0,636.0,0.0,125.0,1,0.0,0.0
4402,4402,-0.524040713702439,-0.5,1.0,311.0,908.0,0.0,-89.0,0,1.0,1.0
4403,4403,-0.42116281182861726,-0.4,1.0,326.0,759.0,1.0,405.0,1,1.0,0.0
4404,4404,-0.7697943079658929,-0.8,1.0,412.0,556.0,1.0,382.0,1,1.0,0.0
4405,4405,0.3485539426845924,0.3,0.0,281.0,548.0,0.0,471.0,1,1.0,1.0
4406,4406,0.0766170528820761,0.1,1.0,450.0,976.0,1.0,1104.0,1,0.0,1.0
4407,4407,0.5786023668390908,0.6,0.0,283.0,630.0,0.0,97.0,1,1.0,1.0
4408,4408,-0.37817322433124223,-0.4,0.0,447.0,882.0,0.0,161.0,1,0.0,0.0
4409,4409,0.4616670823438854,0.5,0.0,404.0,959.0,0.0,227.0,1,1.0,1.0
4410,4410,-0.5351812170725643,-0.5,1.0,372.0,775.0,1.0,53.0,1,1.0,0.0
4411,4411,-0.8159421299772447,-0.8,0.0,356.0,704.0,0.0,210.0,1,0.0,0.0
4412,4412,-0.3968719371405275,-0.4,1.0,424.0,970.0,1.0,-454.0,1,1.0,0.0
4413,4413,-0.11019174251713781,-0.1,1.0,425.0,842.0,0.0,273.0,0,1.0,1.0
4414,4414,-0.32585414399570145,-0.3,1.0,253.0,877.0,1.0,440.0,1,1.0,0.0
4415,4415,0.20474785034564802,0.2,1.0,308.0,894.0,1.0,288.0,1,0.0,1.0
4416,4416,-0.8298831431779322,-0.8,1.0,258.0,751.0,1.0,-599.0,1,1.0,0.0
4417,4417,-0.31160488919794127,-0.3,0.0,431.0,738.0,0.0,321.0,1,0.0,0.0
4418,4418,0.39267212439789423,0.4,0.0,386.0,837.0,0.0,107.0,1,1.0,1.0
4419,4419,0.7008572419401583,0.7,1.0,272.0,612.0,1.0,166.0,1,0.0,1.0
4420,4420,-0.0772684940551136,-0.1,0.0,404.0,747.0,0.0,839.0,1,0.0,0.0
4421,4421,-0.7967920731001165,-0.8,1.0,297.0,721.0,1.0,212.0,1,1.0,0.0
4422,4422,-0.7399589743735582,-0.7,1.0,440.0,687.0,1.0,233.0,1,1.0,0.0
4423,4423,0.618449109967233,0.6,0.0,375.0,563.0,0.0,142.0,1,1.0,1.0
4424,4424,-0.08442196520384915,-0.1,1.0,250.0,715.0,1.0,995.0,1,1.0,0.0
4425,4425,-0.046649177859649504,-0.0,1.0,336.0,788.0,1.0,206.0,1,1.0,0.0
4426,4426,-0.5009635542483937,-0.5,1.0,373.0,748.0,1.0,169.0,1,1.0,0.0
4427,4427,0.3624679555135858,0.4,0.0,295.0,569.0,0.0,276.0,1,1.0,1.0
4428,4428,-0.23665093295259776,-0.2,1.0,268.0,830.0,0.0,2.0,0,1.0,1.0
4429,4429,-0.2865565104798987,-0.3,1.0,460.0,752.0,1.0,558.0,1,1.0,0.0
4430,4430,0.3757593412474677,0.4,0.0,256.0,707.0,0.0,137.0,1,1.0,1.0
4431,4431,0.8296515426046899,0.8,0.0,457.0,852.0,1.0,-569.0,0,1.0,0.0
4432,4432,0.4700465200960967,0.5,0.0,426.0,590.0,1.0,-216.0,0,1.0,0.0
4433,4433,-0.30502272158037336,-0.3,0.0,469.0,948.0,0.0,163.0,1,0.0,0.0
4434,4434,0.01076398647980159,0.0,0.0,387.0,699.0,0.0,1034.0,1,1.0,1.0
4435,4435,-0.45259540375816815,-0.5,1.0,470.0,691.0,1.0,239.0,1,1.0,0.0
4436,4436,0.17631564901694607,0.2,0.0,331.0,742.0,0.0,257.0,1,1.0,1.0
4437,4437,-0.38368702638832375,-0.4,0.0,398.0,509.0,0.0,333.0,1,0.0,0.0
4438,4438,-0.5984247504722023,-0.6,1.0,337.0,524.0,1.0,189.0,1,1.0,0.0
4439,4439,0.18435895240532807,0.2,0.0,250.0,829.0,0.0,1051.0,1,1.0,1.0
4440,4440,0.3186556517340303,0.3,1.0,461.0,720.0,1.0,269.0,1,0.0,1.0
4441,4441,-0.002121488703988983,-0.0,1.0,442.0,627.0,1.0,3931.0,1,1.0,0.0
4442,4442,0.4678547497598521,0.5,0.0,398.0,714.0,0.0,48.0,1,1.0,1.0
4443,4443,0.14751656391521573,0.1,0.0,313.0,561.0,0.0,1146.0,1,1.0,1.0
