,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,inputBias
252,252,0.783645703638516,0.8,0,472.0,786.0,1.0,-848.0,0,0.4145937820680624
253,253,0.014450055169353826,0.0,0,288.0,998.0,1.0,394.0,0,0.34473167712043046
254,254,-0.43450576636004845,-0.4,1,350.0,867.0,1.0,73.0,1,0.27136583855342183
255,255,0.390638495107519,0.4,0,331.0,717.0,0.0,322.0,1,0.23607694251429445
256,256,0.034114622328975,0.0,0,495.0,869.0,1.0,366.0,0,0.2851336965045234
257,257,-0.9288648847696532,-0.9,1,469.0,931.0,1.0,210.0,1,0.22006090719060173
258,258,-0.5148673006047766,-0.5,1,376.0,660.0,1.0,114.0,1,0.3231195304254831
259,259,0.947167631559428,0.9,0,460.0,727.0,0.0,93.0,1,0.4122165143998854
260,260,0.12217525854976219,0.1,0,447.0,551.0,1.0,782.0,0,0.25944381337595246
261,261,-0.48767319031564216,-0.5,1,367.0,624.0,1.0,339.0,1,0.2685272283920474
262,262,0.21892898485965828,0.2,0,293.0,842.0,0.0,665.0,1,0.3409328342239806
263,263,-0.384111349656868,-0.4,1,361.0,818.0,1.0,101.0,1,0.2459066744298153
264,264,0.4471359769976484,0.4,0,481.0,847.0,0.0,122.0,1,0.37021863326571786
265,265,-0.9887037807561583,-1.0,1,491.0,635.0,0.0,-646.0,0,0.4236408358751764
266,266,0.5240621181136347,0.5,0,363.0,981.0,0.0,446.0,1,0.31211522354275445
267,267,-0.407937736596931,-0.4,1,285.0,712.0,1.0,83.0,1,0.40278625002151025
268,268,0.07271604084697669,0.1,0,379.0,734.0,1.0,867.0,0,0.2991326031411271
269,269,-0.4900190876085284,-0.5,1,266.0,760.0,1.0,204.0,1,0.3043304499520671
270,270,-0.04785499029316975,-0.0,1,433.0,549.0,1.0,338.0,1,0.31025817270113565
271,271,0.7037974444097779,0.7,0,382.0,901.0,0.0,627.0,1,0.2993704052071038
272,272,0.568550562001839,0.6,0,449.0,910.0,0.0,461.0,1,0.37176794522475526
273,273,0.42582063548480886,0.4,0,431.0,911.0,0.0,228.0,1,0.2372524230827265
274,274,-0.05256076730001502,-0.1,1,474.0,820.0,1.0,286.0,1,0.27820094188709504
275,275,0.8835971481903793,0.9,0,369.0,680.0,0.0,141.0,1,0.2080327170534471
276,276,0.7906292152484102,0.8,0,389.0,521.0,0.0,70.0,1,0.210945718530532
277,277,-0.7359838026942187,-0.7,1,338.0,669.0,1.0,133.0,1,0.2420473434740312
278,278,0.6743689704500304,0.7,0,322.0,727.0,0.0,341.0,1,0.337402745710481
279,279,-0.49614442146974547,-0.5,1,252.0,805.0,1.0,453.0,1,0.48629098025255346
280,280,-0.09220869823266775,-0.1,1,412.0,961.0,1.0,567.0,1,0.28330173828047583
281,281,0.2258707076715778,0.2,0,417.0,942.0,0.0,111.0,1,0.39645598930635106
282,282,-0.16758558157076098,-0.2,1,458.0,764.0,1.0,248.0,1,0.4783998615378669
283,283,-0.6784004207498102,-0.7,1,326.0,602.0,1.0,162.0,1,0.27706160121230217
284,284,0.24609648167872722,0.2,0,430.0,721.0,0.0,469.0,1,0.41877363188576133
285,285,-0.8477117819818367,-0.8,1,452.0,693.0,1.0,175.0,1,0.33500425052999117
286,286,0.2920140678430798,0.3,0,411.0,662.0,0.0,187.0,1,0.20667423824694658
287,287,0.7736440563903872,0.8,0,429.0,678.0,1.0,-437.0,0,0.45775189730701804
288,288,0.6435417655216238,0.6,0,278.0,781.0,0.0,361.0,1,0.2762093407151237
289,289,-0.9794383359597945,-1.0,1,464.0,526.0,1.0,80.0,1,0.2990464298511597
290,290,0.5002621656192634,0.5,0,298.0,814.0,0.0,178.0,1,0.2952023486207065
291,291,0.20295084849411826,0.2,0,317.0,670.0,0.0,393.0,1,0.39494183734348376
